"ts_code","symbol","name","area","industry","fullname","market","list_date"
"601326.SH",601326,秦港股份,河北,港口,秦皇岛港股份有限公司,主板,20170816
"601328.SH",601328,交通银行,上海,银行,交通银行股份有限公司,主板,20070515
"601330.SH",601330,绿色动力,深圳,环境保护,绿色动力环保集团股份有限公司,主板,20180611
"601333.SH",601333,广深铁路,深圳,铁路,广深铁路股份有限公司,主板,20061222
"601336.SH",601336,新华保险,北京,保险,新华人寿保险股份有限公司,主板,20111216
"601339.SH",601339,百隆东方,浙江,纺织,百隆东方股份有限公司,主板,20120612
"601360.SH",601360,三六零,天津,互联网,三六零安全科技股份有限公司,主板,20120116
"601366.SH",601366,利群股份,山东,百货,利群商业集团股份有限公司,主板,20170412
"601368.SH",601368,绿城水务,广西,水务,广西绿城水务股份有限公司,主板,20150612
"601369.SH",601369,陕鼓动力,陕西,机械基件,西安陕鼓动力股份有限公司,主板,20100428
"601375.SH",601375,中原证券,河南,证券,中原证券股份有限公司,主板,20170103
"601388.SH",601388,怡球资源,江苏,铝,怡球金属资源再生(中国)股份有限公司,主板,20120423
"601390.SH",601390,中国中铁,北京,建筑工程,中国中铁股份有限公司,主板,20071203
"601398.SH",601398,工商银行,北京,银行,中国工商银行股份有限公司,主板,20061027
"601399.SH",601399,国机重装,四川,工程机械,国机重型装备集团股份有限公司,主板,20200608
"601456.SH",601456,国联证券,江苏,证券,国联证券股份有限公司,主板,20200731
"601500.SH",601500,通用股份,江苏,汽车配件,江苏通用科技股份有限公司,主板,20160919
"601512.SH",601512,中新集团,江苏,园区开发,中新苏州工业园区开发集团股份有限公司,主板,20191220
"601518.SH",601518,吉林高速,吉林,路桥,吉林高速公路股份有限公司,主板,20100319
"601519.SH",601519,大智慧,上海,软件服务,上海大智慧股份有限公司,主板,20110128
"601528.SH",601528,瑞丰银行,浙江,银行,浙江绍兴瑞丰农村商业银行股份有限公司,主板,20210625
"601555.SH",601555,东吴证券,江苏,证券,东吴证券股份有限公司,主板,20111212
"601566.SH",601566,九牧王,福建,服饰,九牧王股份有限公司,主板,20110530
"601567.SH",601567,三星医疗,浙江,电器仪表,宁波三星医疗电气股份有限公司,主板,20110615
"601568.SH",601568,北元集团,陕西,化工原料,陕西北元化工集团股份有限公司,主板,20201020
"601577.SH",601577,长沙银行,湖南,银行,长沙银行股份有限公司,主板,20180926
"601579.SH",601579,会稽山,浙江,红黄酒,会稽山绍兴酒股份有限公司,主板,20140825
"601588.SH",601588,北辰实业,北京,区域地产,北京北辰实业股份有限公司,主板,20061016
"601595.SH",601595,上海电影,上海,影视音像,上海电影股份有限公司,主板,20160817
"601598.SH",601598,中国外运,北京,仓储物流,中国外运股份有限公司,主板,20190118
"601599.SH",601599,浙文影业,浙江,纺织,浙文影业集团股份有限公司,主板,20110527
"601600.SH",601600,中国铝业,北京,铝,中国铝业股份有限公司,主板,20070430
"601601.SH",601601,中国太保,上海,保险,中国太平洋保险(集团)股份有限公司,主板,20071225
"601606.SH",601606,长城军工,安徽,专用机械,安徽长城军工股份有限公司,主板,20180806
"601607.SH",601607,上海医药,上海,医药商业,上海医药集团股份有限公司,主板,19940324
"601608.SH",601608,中信重工,河南,专用机械,中信重工机械股份有限公司,主板,20120706
"601609.SH",601609,金田股份,浙江,铜,宁波金田铜业(集团)股份有限公司,主板,20200422
"601611.SH",601611,中国核建,上海,建筑工程,中国核工业建设股份有限公司,主板,20160606
"601615.SH",601615,明阳智能,广东,电气设备,明阳智慧能源集团股份公司,主板,20190123
"601616.SH",601616,广电电气,上海,电气设备,上海广电电气(集团)股份有限公司,主板,20110201
"601618.SH",601618,中国中冶,北京,建筑工程,中国冶金科工股份有限公司,主板,20090921
"601619.SH",601619,嘉泽新能,宁夏,新型电力,宁夏嘉泽新能源股份有限公司,主板,20170720
"601628.SH",601628,中国人寿,北京,保险,中国人寿保险股份有限公司,主板,20070109
"601633.SH",601633,长城汽车,河北,汽车整车,长城汽车股份有限公司,主板,20110928
"601636.SH",601636,旗滨集团,湖南,玻璃,株洲旗滨集团股份有限公司,主板,20110812
"601658.SH",601658,邮储银行,北京,银行,中国邮政储蓄银行股份有限公司,主板,20191210
